Drop,Rise Time (in sec),Fall Time (in sec),Vrise,Vfall,Average Vrise,Average Vfall,Charge (in coulombs),Charge (in e)
14,,33.41,,0.00001496557917,,,,
14,6.52,,0.00007668711656,,,,,
14,,31.11,,0.00001607200257,,,,
14,7.1,,0.00007042253521,,,,,
14,,33.33,,0.00001500150015,,,,
15,,26.08,,0.00001917177914,0.00008011479183,0.00001673494796,1.79E-19,1.118270183
15,6.14,,0.00008143322476,,,,,
15,,27.66,,0.00001807664497,,,,
15,6.39,,0.00007824726135,,,,,
15,,30.05,,0.00001663893511,,,,
15,5.99,,0.00008347245409,,,,,
15,,33.01,,0.00001514692517,,,,
15,5.87,,0.00008517887564,,,,,
15,,36.25,,0.00001379310345,,,,
15,6.65,,0.00007518796992,,,,,
15,,27.17,,0.00001840264998,,,,
15,6.2,,0.00008064516129,,,,,
15,,30.61,,0.0000163345312,,,,
15,6.15,,0.00008130081301,,,,,
15,,32.44,,0.00001541307028,,,,
15,6.35,,0.00007874015748,,,,,
15,,28.46,,0.00001756851722,,,,
15,6.97,,0.00007173601148,,,,,
15,,28.89,,0.00001730702665,,,,
15,6.35,,0.00007874015748,,,,,
15,,31.35,,0.00001594896332,,,,
15,5.7,,0.00008771929825,,,,,
15,,29.37,,0.00001702417433,,,,
15,6.6,,0.00007575757576,,,,,
15,,29.89,,0.00001672800268,,,,
15,6,,0.00008333333333,,,,,
16,,6.73,,0.00007429420505,0.0001265822785,0.00007265846616,9.00E-19,5.614736438
16,3.95,,0.0001265822785,,,,,
16,,7.04,,0.00007102272727,,,,
17,,7.23,,0.00006915629322,0.0001236386408,0.00007434561021,9.06E-19,5.653154351
17,3.84,,0.0001302083333,,,,,
17,,6.75,,0.00007407407407,,,,
17,3.85,,0.0001298701299,,,,,
17,,7.07,,0.00007072135785,,,,
17,4.15,,0.0001204819277,,,,,
17,,6.65,,0.00007518796992,,,,
17,4.28,,0.0001168224299,,,,,
17,,6.6,,0.00007575757576,,,,
17,4.18,,0.0001196172249,,,,,
17,,6.81,,0.00007342143906,,,,
17,4.02,,0.0001243781095,,,,,
17,,6.72,,0.0000744047619,,,,
17,4.28,,0.0001168224299,,,,,
17,,6.8,,0.00007352941176,,,,
17,4.08,,0.0001225490196,,,,,
17,,6.95,,0.00007194244604,,,,
17,3.8,,0.0001315789474,,,,,
17,,6.36,,0.0000786163522,,,,
17,4.2,,0.000119047619,,,,,
17,,6.64,,0.00007530120482,,,,
17,3.66,,0.0001366120219,,,,,
17,,6.62,,0.00007552870091,,,,
17,3.96,,0.0001262626263,,,,,
17,,7.23,,0.00006915629322,,,,
17,4.05,,0.0001234567901,,,,,
17,,6.6,,0.00007575757576,,,,
17,3.89,,0.0001285347044,,,,,
17,,6.62,,0.00007552870091,,,,
17,4.3,,0.0001162790698,,,,,
17,,6.69,,0.00007473841555,,,,
17,3.84,,0.0001302083333,,,,,
17,,6.42,,0.00007788161994,,,,
17,4.29,,0.0001165501166,,,,,
17,,6.48,,0.00007716049383,,,,
17,3.96,,0.0001262626263,,,,,
